Date,Close
04/03/2025,5396.52
04/02/2025,5670.97
04/01/2025,5633.07
03/31/2025,5611.85
03/28/2025,5580.94
03/27/2025,5693.31
03/26/2025,5712.2
03/25/2025,5776.65
03/24/2025,5767.57
03/21/2025,5667.56
03/20/2025,5662.89
03/19/2025,5675.29
03/18/2025,5614.66
03/17/2025,5675.12
03/14/2025,5638.94
03/13/2025,5521.52
03/12/2025,5599.3
03/11/2025,5572.07
03/10/2025,5614.56
03/07/2025,5770.2
03/06/2025,5738.52
03/05/2025,5842.63
03/04/2025,5778.15
03/03/2025,5849.72
02/28/2025,5954.5
02/27/2025,5861.57
02/26/2025,5956.06
02/25/2025,5955.25
02/24/2025,5983.25
02/21/2025,6013.13
02/20/2025,6117.52
02/19/2025,6144.15
02/18/2025,6129.58
02/14/2025,6114.63
02/13/2025,6115.07
02/12/2025,6051.97
02/11/2025,6068.5
02/10/2025,6066.44
02/07/2025,6025.99
02/06/2025,6083.57
02/05/2025,6061.48
02/04/2025,6037.88
02/03/2025,5994.57
01/31/2025,6040.53
01/30/2025,6071.17
01/29/2025,6039.31
01/28/2025,6067.7
01/27/2025,6012.28
01/24/2025,6101.24
01/23/2025,6118.71
01/22/2025,6086.37
01/21/2025,6049.24
01/17/2025,5996.66
01/16/2025,5937.34
01/15/2025,5949.91
01/14/2025,5842.91
01/13/2025,5836.22
01/10/2025,5827.04
01/08/2025,5918.25
01/07/2025,5909.03
01/06/2025,5975.38
01/03/2025,5942.47
01/02/2025,5868.55
12/31/2024,5881.63
12/30/2024,5906.94
12/27/2024,5970.84
12/26/2024,6037.59
12/24/2024,6040.04
12/23/2024,5974.07
12/20/2024,5930.85
12/19/2024,5867.08
12/18/2024,5872.16
12/17/2024,6050.61
12/16/2024,6074.08
12/13/2024,6051.09
12/12/2024,6051.25
12/11/2024,6084.19
12/10/2024,6034.91
12/09/2024,6052.85
12/06/2024,6090.27
12/05/2024,6075.11
12/04/2024,6086.49
12/03/2024,6049.88
12/02/2024,6047.15
11/29/2024,6032.38
11/27/2024,5998.74
11/26/2024,6021.63
11/25/2024,5987.37
11/22/2024,5969.34
11/21/2024,5948.71
11/20/2024,5917.11
11/19/2024,5916.98
11/18/2024,5893.62
11/15/2024,5870.62
11/14/2024,5949.17
11/13/2024,5985.38
11/12/2024,5983.99
11/11/2024,6001.35
11/08/2024,5995.54
11/07/2024,5973.1
11/06/2024,5929.04
11/05/2024,5782.76
11/04/2024,5712.69
11/01/2024,5728.8
10/31/2024,5705.45
10/30/2024,5813.67
10/29/2024,5832.92
10/28/2024,5823.52
10/25/2024,5808.12
10/24/2024,5809.86
10/23/2024,5797.42
10/22/2024,5851.2
10/21/2024,5853.98
10/18/2024,5864.67
10/17/2024,5841.47
10/16/2024,5842.47
10/15/2024,5815.26
10/14/2024,5859.85
10/11/2024,5815.03
10/10/2024,5780.05
10/09/2024,5792.04
10/08/2024,5751.13
10/07/2024,5695.94
10/04/2024,5751.07
10/03/2024,5699.94
10/02/2024,5709.54
10/01/2024,5708.75
09/30/2024,5762.48
09/27/2024,5738.17
09/26/2024,5745.37
09/25/2024,5722.26
09/24/2024,5732.93
09/23/2024,5718.57
09/20/2024,5702.55
09/19/2024,5713.64
09/18/2024,5618.26
09/17/2024,5634.58
09/16/2024,5633.09
09/13/2024,5626.02
09/12/2024,5595.76
09/11/2024,5554.13
09/10/2024,5495.52
09/09/2024,5471.05
09/06/2024,5408.42
09/05/2024,5503.41
09/04/2024,5520.07
09/03/2024,5528.93
08/30/2024,5648.4
08/29/2024,5591.96
